county,ward,office,district,total.votes,party,candidate,votes
Adams,Town Of Adams Wards 1-3,President,,88,DEM,Joe Biden,86
Adams,Town Of Adams Wards 1-3,President,,88,DEM,Dean Phillips,1
Adams,Town Of Adams Wards 1-3,President,,88,DEM,Uninstructed Delegation,1
Adams,Town Of Adams Wards 1-3,President,,88,,Scattering,0
Adams,Town Of Big Flats Wards 1-2,President,,63,DEM,Joe Biden,55
Adams,Town Of Big Flats Wards 1-2,President,,63,DEM,Dean Phillips,5
Adams,Town Of Big Flats Wards 1-2,President,,63,DEM,Uninstructed Delegation,3
Adams,Town Of Big Flats Wards 1-2,President,,63,,Scattering,0
Adams,Town Of Colburn Ward 1,President,,13,DEM,Joe Biden,13
Adams,Town Of Colburn Ward 1,President,,13,DEM,Dean Phillips,0
Adams,Town Of Colburn Ward 1,President,,13,DEM,Uninstructed Delegation,0
Adams,Town Of Colburn Ward 1,President,,13,,Scattering,0
Adams,"Town Of Dell Prairie Wards 1,2",President,,96,DEM,Joe Biden,91
Adams,"Town Of Dell Prairie Wards 1,2",President,,96,DEM,Dean Phillips,2
Adams,"Town Of Dell Prairie Wards 1,2",President,,96,DEM,Uninstructed Delegation,2
Adams,"Town Of Dell Prairie Wards 1,2",President,,96,,Scattering,1
Adams,Town Of Easton Ward 1,President,,77,DEM,Joe Biden,73
Adams,Town Of Easton Ward 1,President,,77,DEM,Dean Phillips,0
Adams,Town Of Easton Ward 1,President,,77,DEM,Uninstructed Delegation,3
Adams,Town Of Easton Ward 1,President,,77,,Scattering,1
Adams,Town Of Jackson Wards 1-2,President,,84,DEM,Joe Biden,71
Adams,Town Of Jackson Wards 1-2,President,,84,DEM,Dean Phillips,3
Adams,Town Of Jackson Wards 1-2,President,,84,DEM,Uninstructed Delegation,9
Adams,Town Of Jackson Wards 1-2,President,,84,,Scattering,1
Adams,Town Of Leola Ward 1,President,,11,DEM,Joe Biden,9
Adams,Town Of Leola Ward 1,President,,11,DEM,Dean Phillips,2
Adams,Town Of Leola Ward 1,President,,11,DEM,Uninstructed Delegation,0
Adams,Town Of Leola Ward 1,President,,11,,Scattering,0
Adams,Town Of Lincoln Ward 1,President,,30,DEM,Joe Biden,27
Adams,Town Of Lincoln Ward 1,President,,30,DEM,Dean Phillips,1
Adams,Town Of Lincoln Ward 1,President,,30,DEM,Uninstructed Delegation,1
Adams,Town Of Lincoln Ward 1,President,,30,,Scattering,1
Adams,Town Of Monroe Ward 1,President,,34,DEM,Joe Biden,32
Adams,Town Of Monroe Ward 1,President,,34,DEM,Dean Phillips,0
Adams,Town Of Monroe Ward 1,President,,34,DEM,Uninstructed Delegation,1
Adams,Town Of Monroe Ward 1,President,,34,,Scattering,1
Adams,Town Of New Chester Wards 1-3,President,,66,DEM,Joe Biden,57
Adams,Town Of New Chester Wards 1-3,President,,66,DEM,Dean Phillips,2
Adams,Town Of New Chester Wards 1-3,President,,66,DEM,Uninstructed Delegation,4
Adams,Town Of New Chester Wards 1-3,President,,66,,Scattering,3
Adams,Town Of New Haven Ward 1,President,,59,DEM,Joe Biden,56
Adams,Town Of New Haven Ward 1,President,,59,DEM,Dean Phillips,0
Adams,Town Of New Haven Ward 1,President,,59,DEM,Uninstructed Delegation,2
Adams,Town Of New Haven Ward 1,President,,59,,Scattering,1
Adams,Town Of Preston Wards 1-2,President,,110,DEM,Joe Biden,103
Adams,Town Of Preston Wards 1-2,President,,110,DEM,Dean Phillips,4
Adams,Town Of Preston Wards 1-2,President,,110,DEM,Uninstructed Delegation,3
Adams,Town Of Preston Wards 1-2,President,,110,,Scattering,0
Adams,"Town Of Quincy Wards 1,2",President,,108,DEM,Joe Biden,100
Adams,"Town Of Quincy Wards 1,2",President,,108,DEM,Dean Phillips,1
Adams,"Town Of Quincy Wards 1,2",President,,108,DEM,Uninstructed Delegation,5
Adams,"Town Of Quincy Wards 1,2",President,,108,,Scattering,2
Adams,Town Of Richfield Ward 1,President,,8,DEM,Joe Biden,8
Adams,Town Of Richfield Ward 1,President,,8,DEM,Dean Phillips,0
Adams,Town Of Richfield Ward 1,President,,8,DEM,Uninstructed Delegation,0
Adams,Town Of Richfield Ward 1,President,,8,,Scattering,0
Adams,Town Of Rome Ward 1,President,,108,DEM,Joe Biden,102
Adams,Town Of Rome Ward 1,President,,108,DEM,Dean Phillips,0
Adams,Town Of Rome Ward 1,President,,108,DEM,Uninstructed Delegation,4
Adams,Town Of Rome Ward 1,President,,108,,Scattering,2
Adams,Town Of Rome Ward 2,President,,105,DEM,Joe Biden,102
Adams,Town Of Rome Ward 2,President,,105,DEM,Dean Phillips,2
Adams,Town Of Rome Ward 2,President,,105,DEM,Uninstructed Delegation,1
Adams,Town Of Rome Ward 2,President,,105,,Scattering,0
Adams,Town Of Rome Wards 3-4,President,,117,DEM,Joe Biden,110
Adams,Town Of Rome Wards 3-4,President,,117,DEM,Dean Phillips,2
Adams,Town Of Rome Wards 3-4,President,,117,DEM,Uninstructed Delegation,4
Adams,Town Of Rome Wards 3-4,President,,117,,Scattering,1
Adams,Town Of Springville Wards 1-2,President,,76,DEM,Joe Biden,69
Adams,Town Of Springville Wards 1-2,President,,76,DEM,Dean Phillips,1
Adams,Town Of Springville Wards 1-2,President,,76,DEM,Uninstructed Delegation,5
Adams,Town Of Springville Wards 1-2,President,,76,,Scattering,1
Adams,"Town Of Strongs Prairie Wards 1,2",President,,102,DEM,Joe Biden,94
Adams,"Town Of Strongs Prairie Wards 1,2",President,,102,DEM,Dean Phillips,3
Adams,"Town Of Strongs Prairie Wards 1,2",President,,102,DEM,Uninstructed Delegation,5
Adams,"Town Of Strongs Prairie Wards 1,2",President,,102,,Scattering,0
Adams,Village Of Friendship Ward 1,President,,48,DEM,Joe Biden,42
Adams,Village Of Friendship Ward 1,President,,48,DEM,Dean Phillips,3
Adams,Village Of Friendship Ward 1,President,,48,DEM,Uninstructed Delegation,3
Adams,Village Of Friendship Ward 1,President,,48,,Scattering,0
Adams,City Of Adams Ward 1,President,,17,DEM,Joe Biden,14
Adams,City Of Adams Ward 1,President,,17,DEM,Dean Phillips,3
Adams,City Of Adams Ward 1,President,,17,DEM,Uninstructed Delegation,0
Adams,City Of Adams Ward 1,President,,17,,Scattering,0
Adams,City Of Adams Ward 2,President,,39,DEM,Joe Biden,38
Adams,City Of Adams Ward 2,President,,39,DEM,Dean Phillips,1
Adams,City Of Adams Ward 2,President,,39,DEM,Uninstructed Delegation,0
Adams,City Of Adams Ward 2,President,,39,,Scattering,0
Adams,City Of Adams Ward 3,President,,17,DEM,Joe Biden,12
Adams,City Of Adams Ward 3,President,,17,DEM,Dean Phillips,3
Adams,City Of Adams Ward 3,President,,17,DEM,Uninstructed Delegation,2
Adams,City Of Adams Ward 3,President,,17,,Scattering,0
Adams,City Of Adams Ward 4,President,,29,DEM,Joe Biden,28
Adams,City Of Adams Ward 4,President,,29,DEM,Dean Phillips,0
Adams,City Of Adams Ward 4,President,,29,DEM,Uninstructed Delegation,1
Adams,City Of Adams Ward 4,President,,29,,Scattering,0
Adams,City Of Adams Ward 5,President,,7,DEM,Joe Biden,7
Adams,City Of Adams Ward 5,President,,7,DEM,Dean Phillips,0
Adams,City Of Adams Ward 5,President,,7,DEM,Uninstructed Delegation,0
Adams,City Of Adams Ward 5,President,,7,,Scattering,0
Adams,"City Of Wisconsin Dells Wards 5,9",President,,0,DEM,Joe Biden,0
Adams,"City Of Wisconsin Dells Wards 5,9",President,,0,DEM,Dean Phillips,0
Adams,"City Of Wisconsin Dells Wards 5,9",President,,0,DEM,Uninstructed Delegation,0
Adams,"City Of Wisconsin Dells Wards 5,9",President,,0,,Scattering,0
Adams,County Totals:,President,,1512,DEM,Joe Biden,1399
Adams,County Totals:,President,,1512,DEM,Dean Phillips,39
Adams,County Totals:,President,,1512,DEM,Uninstructed Delegation,59
Adams,County Totals:,President,,1512,,Scattering,15
Ashland,Town Of Agenda Ward 1,President,,28,DEM,Joe Biden,27
Ashland,Town Of Agenda Ward 1,President,,28,DEM,Dean Phillips,0
Ashland,Town Of Agenda Ward 1,President,,28,DEM,Uninstructed Delegation,1
Ashland,Town Of Agenda Ward 1,President,,28,,Scattering,0
Ashland,Town Of Ashland Ward 1,President,,76,DEM,Joe Biden,65
Ashland,Town Of Ashland Ward 1,President,,76,DEM,Dean Phillips,4
Ashland,Town Of Ashland Ward 1,President,,76,DEM,Uninstructed Delegation,6
Ashland,Town Of Ashland Ward 1,President,,76,,Scattering,1
Ashland,Town Of Chippewa Ward 1,President,,24,DEM,Joe Biden,21
Ashland,Town Of Chippewa Ward 1,President,,24,DEM,Dean Phillips,3
Ashland,Town Of Chippewa Ward 1,President,,24,DEM,Uninstructed Delegation,0
Ashland,Town Of Chippewa Ward 1,President,,24,,Scattering,0
Ashland,Town Of Gingles Ward 1,President,,67,DEM,Joe Biden,62
Ashland,Town Of Gingles Ward 1,President,,67,DEM,Dean Phillips,2
Ashland,Town Of Gingles Ward 1,President,,67,DEM,Uninstructed Delegation,3
Ashland,Town Of Gingles Ward 1,President,,67,,Scattering,0
Ashland,Town Of Gingles Ward 2,President,,20,DEM,Joe Biden,16
Ashland,Town Of Gingles Ward 2,President,,20,DEM,Dean Phillips,1
Ashland,Town Of Gingles Ward 2,President,,20,DEM,Uninstructed Delegation,3
Ashland,Town Of Gingles Ward 2,President,,20,,Scattering,0
Ashland,Town Of Gordon Ward 1,President,,28,DEM,Joe Biden,28
Ashland,Town Of Gordon Ward 1,President,,28,DEM,Dean Phillips,0
Ashland,Town Of Gordon Ward 1,President,,28,DEM,Uninstructed Delegation,0
Ashland,Town Of Gordon Ward 1,President,,28,,Scattering,0
Ashland,Town Of Jacobs Ward 1,President,,29,DEM,Joe Biden,28
Ashland,Town Of Jacobs Ward 1,President,,29,DEM,Dean Phillips,1
Ashland,Town Of Jacobs Ward 1,President,,29,DEM,Uninstructed Delegation,0
Ashland,Town Of Jacobs Ward 1,President,,29,,Scattering,0
Ashland,Town Of Jacobs Ward 2,President,,5,DEM,Joe Biden,5
Ashland,Town Of Jacobs Ward 2,President,,5,DEM,Dean Phillips,0
Ashland,Town Of Jacobs Ward 2,President,,5,DEM,Uninstructed Delegation,0
Ashland,Town Of Jacobs Ward 2,President,,5,,Scattering,0
Ashland,Town Of La Pointe Ward 1,President,,132,DEM,Joe Biden,100
Ashland,Town Of La Pointe Ward 1,President,,132,DEM,Dean Phillips,3
Ashland,Town Of La Pointe Ward 1,President,,132,DEM,Uninstructed Delegation,29
Ashland,Town Of La Pointe Ward 1,President,,132,,Scattering,0
Ashland,Town Of Marengo Ward 1,President,,51,DEM,Joe Biden,46
Ashland,Town Of Marengo Ward 1,President,,51,DEM,Dean Phillips,1
Ashland,Town Of Marengo Ward 1,President,,51,DEM,Uninstructed Delegation,4
Ashland,Town Of Marengo Ward 1,President,,51,,Scattering,0
Ashland,Town Of Morse Ward 1,President,,51,DEM,Joe Biden,46
Ashland,Town Of Morse Ward 1,President,,51,DEM,Dean Phillips,1
Ashland,Town Of Morse Ward 1,President,,51,DEM,Uninstructed Delegation,4
Ashland,Town Of Morse Ward 1,President,,51,,Scattering,0
Ashland,Town Of Morse Ward 2,President,,23,DEM,Joe Biden,19
Ashland,Town Of Morse Ward 2,President,,23,DEM,Dean Phillips,3
Ashland,Town Of Morse Ward 2,President,,23,DEM,Uninstructed Delegation,1
Ashland,Town Of Morse Ward 2,President,,23,,Scattering,0
Ashland,Town Of Peeksville Ward 1,President,,14,DEM,Joe Biden,12
Ashland,Town Of Peeksville Ward 1,President,,14,DEM,Dean Phillips,0
Ashland,Town Of Peeksville Ward 1,President,,14,DEM,Uninstructed Delegation,2
Ashland,Town Of Peeksville Ward 1,President,,14,,Scattering,0
Ashland,Town Of Sanborn Ward 1,President,,37,DEM,Joe Biden,37
Ashland,Town Of Sanborn Ward 1,President,,37,DEM,Dean Phillips,0
Ashland,Town Of Sanborn Ward 1,President,,37,DEM,Uninstructed Delegation,0
Ashland,Town Of Sanborn Ward 1,President,,37,,Scattering,0
Ashland,Town Of Sanborn Ward 2,President,,12,DEM,Joe Biden,9
Ashland,Town Of Sanborn Ward 2,President,,12,DEM,Dean Phillips,1
Ashland,Town Of Sanborn Ward 2,President,,12,DEM,Uninstructed Delegation,2
Ashland,Town Of Sanborn Ward 2,President,,12,,Scattering,0
Ashland,Town Of Shanagolden Ward 1,President,,8,DEM,Joe Biden,6
Ashland,Town Of Shanagolden Ward 1,President,,8,DEM,Dean Phillips,0
Ashland,Town Of Shanagolden Ward 1,President,,8,DEM,Uninstructed Delegation,2
Ashland,Town Of Shanagolden Ward 1,President,,8,,Scattering,0
Ashland,Town Of White River Ward 1,President,,12,DEM,Joe Biden,10
Ashland,Town Of White River Ward 1,President,,12,DEM,Dean Phillips,2
Ashland,Town Of White River Ward 1,President,,12,DEM,Uninstructed Delegation,0
Ashland,Town Of White River Ward 1,President,,12,,Scattering,0
Ashland,Town Of White River Ward 2,President,,24,DEM,Joe Biden,24
Ashland,Town Of White River Ward 2,President,,24,DEM,Dean Phillips,0
Ashland,Town Of White River Ward 2,President,,24,DEM,Uninstructed Delegation,0
Ashland,Town Of White River Ward 2,President,,24,,Scattering,0
Ashland,Village Of Butternut Ward 1,President,,39,DEM,Joe Biden,35
Ashland,Village Of Butternut Ward 1,President,,39,DEM,Dean Phillips,2
Ashland,Village Of Butternut Ward 1,President,,39,DEM,Uninstructed Delegation,1
Ashland,Village Of Butternut Ward 1,President,,39,,Scattering,1
Ashland,City Of Ashland Wards 1-2,President,,145,DEM,Joe Biden,129
Ashland,City Of Ashland Wards 1-2,President,,145,DEM,Dean Phillips,3
Ashland,City Of Ashland Wards 1-2,President,,145,DEM,Uninstructed Delegation,13
Ashland,City Of Ashland Wards 1-2,President,,145,,Scattering,0
Ashland,City Of Ashland Wards 3-4,President,,88,DEM,Joe Biden,74
Ashland,City Of Ashland Wards 3-4,President,,88,DEM,Dean Phillips,4
Ashland,City Of Ashland Wards 3-4,President,,88,DEM,Uninstructed Delegation,8
Ashland,City Of Ashland Wards 3-4,President,,88,,Scattering,2
Ashland,City Of Ashland Ward 5,President,,77,DEM,Joe Biden,73
Ashland,City Of Ashland Ward 5,President,,77,DEM,Dean Phillips,0
Ashland,City Of Ashland Ward 5,President,,77,DEM,Uninstructed Delegation,4
Ashland,City Of Ashland Ward 5,President,,77,,Scattering,0
Ashland,City Of Ashland Ward 6,President,,66,DEM,Joe Biden,58
Ashland,City Of Ashland Ward 6,President,,66,DEM,Dean Phillips,3
Ashland,City Of Ashland Ward 6,President,,66,DEM,Uninstructed Delegation,5
Ashland,City Of Ashland Ward 6,President,,66,,Scattering,0
Ashland,City Of Ashland Ward 7,President,,66,DEM,Joe Biden,58
Ashland,City Of Ashland Ward 7,President,,66,DEM,Dean Phillips,1
Ashland,City Of Ashland Ward 7,President,,66,DEM,Uninstructed Delegation,7
Ashland,City Of Ashland Ward 7,President,,66,,Scattering,0
Ashland,City Of Ashland Ward 8,President,,55,DEM,Joe Biden,41
Ashland,City Of Ashland Ward 8,President,,55,DEM,Dean Phillips,3
Ashland,City Of Ashland Ward 8,President,,55,DEM,Uninstructed Delegation,11
Ashland,City Of Ashland Ward 8,President,,55,,Scattering,0
Ashland,City Of Ashland Wards 9-10,President,,95,DEM,Joe Biden,76
Ashland,City Of Ashland Wards 9-10,President,,95,DEM,Dean Phillips,7
Ashland,City Of Ashland Wards 9-10,President,,95,DEM,Uninstructed Delegation,11
Ashland,City Of Ashland Wards 9-10,President,,95,,Scattering,1
Ashland,City Of Ashland Ward 11,President,,65,DEM,Joe Biden,51
Ashland,City Of Ashland Ward 11,President,,65,DEM,Dean Phillips,3
Ashland,City Of Ashland Ward 11,President,,65,DEM,Uninstructed Delegation,11
Ashland,City Of Ashland Ward 11,President,,65,,Scattering,0
Ashland,City Of Ashland Ward 12,President,,63,DEM,Joe Biden,56
Ashland,City Of Ashland Ward 12,President,,63,DEM,Dean Phillips,3
Ashland,City Of Ashland Ward 12,President,,63,DEM,Uninstructed Delegation,4
Ashland,City Of Ashland Ward 12,President,,63,,Scattering,0
Ashland,City Of Ashland Wards 13-14,President,,132,DEM,Joe Biden,91
Ashland,City Of Ashland Wards 13-14,President,,132,DEM,Dean Phillips,6
Ashland,City Of Ashland Wards 13-14,President,,132,DEM,Uninstructed Delegation,32
Ashland,City Of Ashland Wards 13-14,President,,132,,Scattering,3
Ashland,City Of Ashland Wards 15-16,President,,96,DEM,Joe Biden,83
Ashland,City Of Ashland Wards 15-16,President,,96,DEM,Dean Phillips,5
Ashland,City Of Ashland Wards 15-16,President,,96,DEM,Uninstructed Delegation,6
Ashland,City Of Ashland Wards 15-16,President,,96,,Scattering,2
Ashland,City Of Ashland Ward 17,President,,43,DEM,Joe Biden,32
Ashland,City Of Ashland Ward 17,President,,43,DEM,Dean Phillips,3
Ashland,City Of Ashland Ward 17,President,,43,DEM,Uninstructed Delegation,7
Ashland,City Of Ashland Ward 17,President,,43,,Scattering,1
Ashland,City Of Ashland Ward 18,President,,70,DEM,Joe Biden,64
Ashland,City Of Ashland Ward 18,President,,70,DEM,Dean Phillips,1
Ashland,City Of Ashland Ward 18,President,,70,DEM,Uninstructed Delegation,4
Ashland,City Of Ashland Ward 18,President,,70,,Scattering,1
Ashland,City Of Ashland Wards 19-20,President,,106,DEM,Joe Biden,89
Ashland,City Of Ashland Wards 19-20,President,,106,DEM,Dean Phillips,3
Ashland,City Of Ashland Wards 19-20,President,,106,DEM,Uninstructed Delegation,14
Ashland,City Of Ashland Wards 19-20,President,,106,,Scattering,0
Ashland,City Of Ashland Ward 21,President,,62,DEM,Joe Biden,50
Ashland,City Of Ashland Ward 21,President,,62,DEM,Dean Phillips,2
Ashland,City Of Ashland Ward 21,President,,62,DEM,Uninstructed Delegation,6
Ashland,City Of Ashland Ward 21,President,,62,,Scattering,4
Ashland,City Of Mellen Ward 1,President,,93,DEM,Joe Biden,84
Ashland,City Of Mellen Ward 1,President,,93,DEM,Dean Phillips,5
Ashland,City Of Mellen Ward 1,President,,93,DEM,Uninstructed Delegation,4
Ashland,City Of Mellen Ward 1,President,,93,,Scattering,0
Ashland,County Totals:,President,,2002,DEM,Joe Biden,1705
Ashland,County Totals:,President,,2002,DEM,Dean Phillips,76
Ashland,County Totals:,President,,2002,DEM,Uninstructed Delegation,205
Ashland,County Totals:,President,,2002,,Scattering,16
Barron,Town Of Almena Wards 1-2,President,,51,DEM,Joe Biden,47
Barron,Town Of Almena Wards 1-2,President,,51,DEM,Dean Phillips,1
Barron,Town Of Almena Wards 1-2,President,,51,DEM,Uninstructed Delegation,2
Barron,Town Of Almena Wards 1-2,President,,51,,Scattering,1
Barron,Town Of Arland Ward 1,President,,38,DEM,Joe Biden,38
Barron,Town Of Arland Ward 1,President,,38,DEM,Dean Phillips,0
Barron,Town Of Arland Ward 1,President,,38,DEM,Uninstructed Delegation,0
Barron,Town Of Arland Ward 1,President,,38,,Scattering,0
Barron,Town Of Barron Wards 1-2,President,,25,DEM,Joe Biden,21
Barron,Town Of Barron Wards 1-2,President,,25,DEM,Dean Phillips,2
Barron,Town Of Barron Wards 1-2,President,,25,DEM,Uninstructed Delegation,2
Barron,Town Of Barron Wards 1-2,President,,25,,Scattering,0
Barron,Town Of Bear Lake Ward 1,President,,69,DEM,Joe Biden,61
Barron,Town Of Bear Lake Ward 1,President,,69,DEM,Dean Phillips,1
Barron,Town Of Bear Lake Ward 1,President,,69,DEM,Uninstructed Delegation,7
Barron,Town Of Bear Lake Ward 1,President,,69,,Scattering,0
Barron,Town Of Cedar Lake Wards 1-2,President,,95,DEM,Joe Biden,92
Barron,Town Of Cedar Lake Wards 1-2,President,,95,DEM,Dean Phillips,2
Barron,Town Of Cedar Lake Wards 1-2,President,,95,DEM,Uninstructed Delegation,1
Barron,Town Of Cedar Lake Wards 1-2,President,,95,,Scattering,0
Barron,Town Of Chetek Wards 1-3,President,,121,DEM,Joe Biden,114
Barron,Town Of Chetek Wards 1-3,President,,121,DEM,Dean Phillips,4
Barron,Town Of Chetek Wards 1-3,President,,121,DEM,Uninstructed Delegation,3
Barron,Town Of Chetek Wards 1-3,President,,121,,Scattering,0
Barron,Town Of Clinton Ward 1,President,,33,DEM,Joe Biden,28
Barron,Town Of Clinton Ward 1,President,,33,DEM,Dean Phillips,3
Barron,Town Of Clinton Ward 1,President,,33,DEM,Uninstructed Delegation,2
Barron,Town Of Clinton Ward 1,President,,33,,Scattering,0
Barron,Town Of Crystal Lake Ward 1,President,,53,DEM,Joe Biden,47
Barron,Town Of Crystal Lake Ward 1,President,,53,DEM,Dean Phillips,3
Barron,Town Of Crystal Lake Ward 1,President,,53,DEM,Uninstructed Delegation,3
Barron,Town Of Crystal Lake Ward 1,President,,53,,Scattering,0
Barron,Town Of Cumberland Ward 1,President,,69,DEM,Joe Biden,64
Barron,Town Of Cumberland Ward 1,President,,69,DEM,Dean Phillips,3
Barron,Town Of Cumberland Ward 1,President,,69,DEM,Uninstructed Delegation,1
Barron,Town Of Cumberland Ward 1,President,,69,,Scattering,1
Barron,Town Of Dallas Wards 1-2,President,,23,DEM,Joe Biden,22
Barron,Town Of Dallas Wards 1-2,President,,23,DEM,Dean Phillips,0
Barron,Town Of Dallas Wards 1-2,President,,23,DEM,Uninstructed Delegation,1
Barron,Town Of Dallas Wards 1-2,President,,23,,Scattering,0
Barron,Town Of Dovre Ward 1,President,,68,DEM,Joe Biden,56
Barron,Town Of Dovre Ward 1,President,,68,DEM,Dean Phillips,5
Barron,Town Of Dovre Ward 1,President,,68,DEM,Uninstructed Delegation,5
Barron,Town Of Dovre Ward 1,President,,68,,Scattering,2
Barron,Town Of Doyle Wards 1-2,President,,43,DEM,Joe Biden,35
Barron,Town Of Doyle Wards 1-2,President,,43,DEM,Dean Phillips,3
Barron,Town Of Doyle Wards 1-2,President,,43,DEM,Uninstructed Delegation,5
Barron,Town Of Doyle Wards 1-2,President,,43,,Scattering,0
Barron,Town Of Lakeland Wards 1-2,President,,82,DEM,Joe Biden,77
Barron,Town Of Lakeland Wards 1-2,President,,82,DEM,Dean Phillips,1
Barron,Town Of Lakeland Wards 1-2,President,,82,DEM,Uninstructed Delegation,3
Barron,Town Of Lakeland Wards 1-2,President,,82,,Scattering,1
Barron,Town Of Maple Grove Wards 1-2,President,,25,DEM,Joe Biden,19
Barron,Town Of Maple Grove Wards 1-2,President,,25,DEM,Dean Phillips,2
Barron,Town Of Maple Grove Wards 1-2,President,,25,DEM,Uninstructed Delegation,4
Barron,Town Of Maple Grove Wards 1-2,President,,25,,Scattering,0
Barron,Town Of Maple Plain Ward 1,President,,82,DEM,Joe Biden,77
Barron,Town Of Maple Plain Ward 1,President,,82,DEM,Dean Phillips,1
Barron,Town Of Maple Plain Ward 1,President,,82,DEM,Uninstructed Delegation,4
Barron,Town Of Maple Plain Ward 1,President,,82,,Scattering,0
Barron,Town Of Oak Grove Wards 1-2,President,,82,DEM,Joe Biden,78
Barron,Town Of Oak Grove Wards 1-2,President,,82,DEM,Dean Phillips,3
Barron,Town Of Oak Grove Wards 1-2,President,,82,DEM,Uninstructed Delegation,1
Barron,Town Of Oak Grove Wards 1-2,President,,82,,Scattering,0
Barron,Town Of Prairie Farm Wards 1-2,President,,27,DEM,Joe Biden,22
Barron,Town Of Prairie Farm Wards 1-2,President,,27,DEM,Dean Phillips,3
Barron,Town Of Prairie Farm Wards 1-2,President,,27,DEM,Uninstructed Delegation,2
Barron,Town Of Prairie Farm Wards 1-2,President,,27,,Scattering,0
Barron,Town Of Prairie Lake Wards 1-2,President,,113,DEM,Joe Biden,107
Barron,Town Of Prairie Lake Wards 1-2,President,,113,DEM,Dean Phillips,3
Barron,Town Of Prairie Lake Wards 1-2,President,,113,DEM,Uninstructed Delegation,3
Barron,Town Of Prairie Lake Wards 1-2,President,,113,,Scattering,0
Barron,Town Of Rice Lake Wards 1-4,President,,228,DEM,Joe Biden,215
Barron,Town Of Rice Lake Wards 1-4,President,,228,DEM,Dean Phillips,7
Barron,Town Of Rice Lake Wards 1-4,President,,228,DEM,Uninstructed Delegation,3
Barron,Town Of Rice Lake Wards 1-4,President,,228,,Scattering,3
Barron,Town Of Sioux Creek Ward 1,President,,54,DEM,Joe Biden,45
Barron,Town Of Sioux Creek Ward 1,President,,54,DEM,Dean Phillips,3
Barron,Town Of Sioux Creek Ward 1,President,,54,DEM,Uninstructed Delegation,4
Barron,Town Of Sioux Creek Ward 1,President,,54,,Scattering,2
Barron,Town Of Stanfold Ward 1,President,,32,DEM,Joe Biden,26
Barron,Town Of Stanfold Ward 1,President,,32,DEM,Dean Phillips,2
Barron,Town Of Stanfold Ward 1,President,,32,DEM,Uninstructed Delegation,3
Barron,Town Of Stanfold Ward 1,President,,32,,Scattering,1
Barron,Town Of Stanley Wards 1-4,President,,141,DEM,Joe Biden,121
Barron,Town Of Stanley Wards 1-4,President,,141,DEM,Dean Phillips,10
Barron,Town Of Stanley Wards 1-4,President,,141,DEM,Uninstructed Delegation,9
Barron,Town Of Stanley Wards 1-4,President,,141,,Scattering,1
Barron,Town Of Sumner Ward 1,President,,50,DEM,Joe Biden,46
Barron,Town Of Sumner Ward 1,President,,50,DEM,Dean Phillips,3
Barron,Town Of Sumner Ward 1,President,,50,DEM,Uninstructed Delegation,0
Barron,Town Of Sumner Ward 1,President,,50,,Scattering,1
Barron,Town Of Turtle Lake Ward 1,President,,24,DEM,Joe Biden,22
Barron,Town Of Turtle Lake Ward 1,President,,24,DEM,Dean Phillips,2
Barron,Town Of Turtle Lake Ward 1,President,,24,DEM,Uninstructed Delegation,0
Barron,Town Of Turtle Lake Ward 1,President,,24,,Scattering,0
Barron,Town Of Vance Creek Ward 1,President,,35,DEM,Joe Biden,30
Barron,Town Of Vance Creek Ward 1,President,,35,DEM,Dean Phillips,3
Barron,Town Of Vance Creek Ward 1,President,,35,DEM,Uninstructed Delegation,2
Barron,Town Of Vance Creek Ward 1,President,,35,,Scattering,0
Barron,Village Of Almena Ward 1,President,,30,DEM,Joe Biden,28
Barron,Village Of Almena Ward 1,President,,30,DEM,Dean Phillips,2
Barron,Village Of Almena Ward 1,President,,30,DEM,Uninstructed Delegation,0
Barron,Village Of Almena Ward 1,President,,30,,Scattering,0
Barron,Village Of Cameron Wards 1-3,President,,84,DEM,Joe Biden,74
Barron,Village Of Cameron Wards 1-3,President,,84,DEM,Dean Phillips,6
Barron,Village Of Cameron Wards 1-3,President,,84,DEM,Uninstructed Delegation,3
Barron,Village Of Cameron Wards 1-3,President,,84,,Scattering,1
Barron,Village Of Dallas Ward 1,President,,11,DEM,Joe Biden,9
Barron,Village Of Dallas Ward 1,President,,11,DEM,Dean Phillips,0
Barron,Village Of Dallas Ward 1,President,,11,DEM,Uninstructed Delegation,1
Barron,Village Of Dallas Ward 1,President,,11,,Scattering,1
Barron,Village Of Haugen Ward 1,President,,28,DEM,Joe Biden,23
Barron,Village Of Haugen Ward 1,President,,28,DEM,Dean Phillips,4
Barron,Village Of Haugen Ward 1,President,,28,DEM,Uninstructed Delegation,1
Barron,Village Of Haugen Ward 1,President,,28,,Scattering,0
Barron,Village Of New Auburn Ward 2,President,,0,DEM,Joe Biden,0
Barron,Village Of New Auburn Ward 2,President,,0,DEM,Dean Phillips,0
Barron,Village Of New Auburn Ward 2,President,,0,DEM,Uninstructed Delegation,0
Barron,Village Of New Auburn Ward 2,President,,0,,Scattering,0
Barron,Village Of Prairie Farm Ward 1,President,,14,DEM,Joe Biden,13
Barron,Village Of Prairie Farm Ward 1,President,,14,DEM,Dean Phillips,1
Barron,Village Of Prairie Farm Ward 1,President,,14,DEM,Uninstructed Delegation,0
Barron,Village Of Prairie Farm Ward 1,President,,14,,Scattering,0
